test_item,question_elements,test,id,test_part,statement,correct_answer,answers,test_type
50,"[{'question_text': 'O direito não é a justiça. O direito é o elemento do cálculo, é justo que haja um direito, mas a justiça é incalculável, ela exige que se calcule o incalculável; e as experiências aporéticas são experiências tão improváveis quanto necessárias da justiça, isto é, são momentos em que a decisão entre o justo e o injusto nunca é garantida por uma regra.\n', 'question_text_reference': 'DERRIDA, J. **Força de lei.** São Paulo: Martins Fontes, 2010 (adaptado).\n'}]",enem_2025,11,ch,"De acordo com o texto, ainda que estejam em desconformidade com o ordenamento jurídico, são exemplos de ação justa:
",A,"{'A': 'Casos de desobediência civil.', 'B': 'Repressões do aparato estatal.', 'C': 'Conflitos de natureza intercontinental.', 'D': 'Manifestações do movimento sindical.', 'E': 'Mobilizações de agremiações estudantis.'}",azul
55,"[{'question_text': 'A “invenção” dessa nova anatomia política não deve ser entendida como uma descoberta súbita. Mas como uma multiplicidade de processos muitas vezes mínimos, de origens diferentes, de localizações esparsas, que se recordam, que se repetem, ou se imitam, apoiam-se uns sobre os outros e esboçam aos poucos a fachada de um método geral. Encontramo-los em funcionamento nos colégios, muito cedo; mais tarde, nas escolas primárias, no espaço hospitalar e na organização militar.\n', 'question_text_reference': 'FOUCAULT, M. **Vigiar e punir.** Petrópolis: Vozes, 2011.\n'}]",enem_2025,12,ch,"O texto indica o seguinte aspecto da disciplina como ferramenta política:
",D,"{'A': 'Expansão das técnicas de suplício.', 'B': 'Judicialização das relações de poder.', 'C': 'Dissolução das distinções de nobreza.', 'D': 'Capilarização das práticas de controle.', 'E': 'Espetacularização das medidas de penitência.'}",azul
60,"[{'question_text': 'Adam Smith via o açougueiro e o padeiro não só como indivíduos buscando seus interesses financeiros, mas como pessoas moralmente motivadas dentro de uma sociedade. A base da moral era a empatia e o julgamento, instaurando uma distinção entre o que queremos fazer e o que sentimos que devemos fazer.\n', 'question_text_reference': 'COLLIER, P. **O futuro do capitalismo.** Porto Alegre: LP&M, 2019.\n'}]",enem_2025,13,ch,"O texto defende uma motivação capitalista para o campo dos negócios, na qual o lucro se mostra associado à
",D,"{'A': 'consolidação do poder político.', 'B': 'procura de satisfação subjetiva.', 'C': 'estruturação do monopólio comercial.', 'D': 'percepção de responsabilidade ética.', 'E': 'conquista do reconhecimento público.'}",azul
61,"[{'question_text': 'O corpo de cidadãos é o poder supremo dos Estados. A supremacia pode residir ou num homem, ou na minoria, ou em todos. Sempre que o Um, ou a Minoria, ou Todos governam, tendo em vista o bem-estar comum, essas constituições são justas; mas se procuram apenas o benefício de uma das partes, seja ela o Um, a Minoria ou Todos, estabelece-se um desvio.\n', 'question_text_reference': 'ARISTÓTELES. **Política.** São Paulo: Nova Cultural, 2000.\n'}]",enem_2025,14,ch,"No excerto encontra-se a base da teoria clássica das três formas de governo representadas pela
",E,"{'A': 'tirania, oligarquia e república.', 'B': 'burocracia, autarquia e império.', 'C': 'ditadura, autocracia e anarquia.', 'D': 'plutocracia, tecnocracia e demagogia.', 'E': 'monarquia, aristocracia e democracia.'}",azul
65,"[{'question_text_title': 'O que eu queria ter sido', 'question_text': 'Um nome para o que sou, importa muito pouco. Importa o que eu gostaria de ser. O que eu gostaria de ser era uma lutadora. Quero dizer, uma pessoa que luta pelo bem dos outros. Isso desde pequena eu quis. Por que foi o destino me levando a escrever o que já escrevi, em vez de também desenvolver em mim a qualidade de lutadora que eu tinha? Em pequena, minha família por brincadeira chamava-me de “a protetora dos animais”. Porque bastava acusarem uma pessoa para eu imediatamente defendê-la. E eu sentia o drama social com tanta intensidade que vivia de coração perplexo diante das grandes injustiças a que são submetidas as chamadas classes menos privilegiadas.\n', 'question_text_reference': 'LISPECTOR, C. **Aprendendo a viver.** Rio de Janeiro: Rocco Digital, 2013.\n'}]",enem_2025,15,ch,"A reflexão contida no texto faz referência aos pressupostos de uma doutrina ética representada pelo
",C,"{'A': 'estado eudaimônico.', 'B': 'referencial hedonista.', 'C': 'pensamento altruísta.', 'D': 'movimento antiespecista.', 'E': 'comportamento pragmático.'}",azul
66,"[{'question_text': 'Independência de pensamento, autonomia e direito à oposição política estão perdendo sua função crítica básica numa sociedade que parece cada vez mais capaz de atender às necessidades dos indivíduos através da forma pela qual é organizada. Nas condições de um padrão de vida crescente, o não conformismo com o próprio sistema parece socialmente inútil, principalmente quando acarreta desvantagens econômicas e políticas tangíveis e ameaça o funcionamento suave do todo.\n', 'question_text_reference': 'MARCUSE, H. **Ideologia da sociedade industrial.** Rio de Janeiro: Zahar, 1969.\n'}]",enem_2025,16,ch,"Qual é a característica da sociedade industrial do século XX apresentada no texto?
",D,"{'A': 'Gestão integrada.', 'B': 'Relativismo moral.', 'C': 'Desobediência civil.', 'D': 'Realidade unidimensional.', 'E': 'Desenvolvimento tecnológico.'}",azul
72,"[{'question_text_title': 'TEXTO I', 'question_text': 'Em conjunto: todo e não todo, unido e separado, em consonância e em dissonância. De todos um e de um todos. (Fragmento B10)\n', 'question_text_reference': 'PRÉ-SOCRÁTICOS. São Paulo: Nova Cultural, 1996.\n'}, {'question_text_title': 'TEXTO II', 'question_text': 'Deus é dia-noite, inverno-verão, guerra-paz, saciedade-fome. (Fragmento B67)\n', 'question_text_reference': 'PRÉ-SOCRÁTICOS. São Paulo: Nova Cultural, 1996.\n'}]",enem_2025,17,ch,"A característica do pensamento do filósofo Heráclito, registrada nos fragmentos mencionados, é a ênfase na
",D,"{'A': 'qualidade imperecível do mundo.', 'B': 'degradação material da natureza.', 'C': 'imobilidade imanente do universo.', 'D': 'distribuição dicotômica do cosmos.', 'E': 'desordem incontornável das coisas.'}",azul
79,"[{'question_text': 'A missão dos governantes consiste em promover a felicidade da sociedade, punindo e recompensando. A parte da missão de governo que consiste em punir constitui mais particularmente o objeto da lei penal. A obrigatoriedade ou necessidade de punir uma ação é proporcional à medida que tal ação tende a perturbar a felicidade e à medida que a tendência do referido ato é perniciosa. A felicidade consiste naquilo que já vimos, ou seja, em desfrutar prazeres e em estar isento de dores.\n', 'question_text_reference': 'BENTHAM, J. **Uma introdução aos princípios da moral e da legislação.** São Paulo: Abril Cultural, 1974 (adaptado).\n'}]",enem_2025,18,ch,"Qual perspectiva de justiça emerge da relação, estabelecida no texto, entre punição e felicidade?
",A,"{'A': 'Aplicação de meios para atingir um fim.', 'B': 'Imposição de regras para estabelecer um dever.', 'C': 'Sobreposição de princípios para fundamentar um direito.', 'D': 'Criação de parâmetros para reconhecer uma prescrição.', 'E': 'Elaboração de convenções para referendar um costume.'}",azul
82,"[{'question_text': 'A cidade justa é governada pelos filósofos, administrada pelos cientistas, protegida pelos guerreiros e mantida pelos produtores. Cada classe cumprirá sua função para o bem da pólis, racionalmente dirigida pelos filósofos. Em contrapartida, a cidade injusta é aquela onde o governo está nas mãos dos proprietários — que não pensam no bem comum da pólis e lutarão por interesses econômicos particulares.\n', 'question_text_reference': 'CHAUÍ, M. **Convite à filosofia.** São Paulo: Ática, 2000.\n'}]",enem_2025,19,ch,"O texto apresenta a estrutura de governo da cidade ideal pensada por Platão, que postula uma indissociabilidade entre
",,"{'A': 'cognoscência e relação intersubjetiva.', 'B': 'mitologia e teorias cosmogônicas.', 'C': 'cidadania e primazia da retórica.', 'D': 'moralidade e virtudes cardeais.', 'E': 'ética e exercício do poder.'}",azul
47,"[{'question_text': 'Para os gregos, forçar alguém mediante violência, ordenar ao invés de persuadir, eram modos pré-políticos de lidar com as pessoas, típicos da vida fora da polis, característicos do lar e da vida em família, na qual o chefe da casa imperava com poderes incontestes e despóticos.\n', 'question_text_reference': 'ARENDT, H. **A condição humana.** São Paulo: Perspectiva, 2004.\n'}]",enem_2025_belem,20,ch,"A filósofa alemã Hannah Arendt analisa uma noção de poder sustentada pelo vínculo entre a autoridade e a violência para criticar tendências que se baseiam no(a)
",B,"{'A': 'força coercitiva das leis.', 'B': 'arbítrio individual do governante.', 'C': 'monitoramento coletivo dos cidadãos.', 'D': 'imposição constritiva dos argumentos.', 'E': 'obediência aos mecanismos de repressão.'}",azul
53,"[{'question_text': 'Não ignoro que muitos foram e são de opinião de que as coisas do mundo são governadas de tal modo pela fortuna e por Deus e que os homens não podem corrigi-las com a prudência, e até não têm remédio algum contra eles. Por isso, poder-se-ia julgar que não devemos incomodar-nos demais com as coisas, mas deixar-nos governar à sorte.\n', 'question_text_reference': 'MAQUIAVEL, N. **O Príncipe.** São Paulo: Martins Fontes, 2010.\n'}]",enem_2025_belem,21,ch,"Diante dessas reflexões de Maquiavel, qual é a função do livre-arbítrio nos domínios da política?
",B,"{'A': 'Aplacar a aspiração de poder dos súditos.', 'B': 'Orientar o soberano no campo das incertezas.', 'C': 'Estabilizar a administração por meio do diálogo.', 'D': 'Relativizar os valores morais no escopo das tradições.', 'E': 'Aprimorar o espírito bélico para a conquista de territórios.'}",azul
55,"[{'question_text': 'O homo economicus contemporâneo é dotado de intenso princípio de racionalidade formal que o leva: 1. a buscar sem qualquer hesitação a própria felicidade; 2. a dar a preferência aos objetos visíveis que lhe trarão o máximo de satisfação.\n', 'question_text_reference': 'BAUDRILLARD, J. **A sociedade de consumo.** Lisboa: Edições 70, 1995 (adaptado).\n'}]",enem_2025_belem,22,ch,"Considerando o tipo de racionalidade descrita no texto, os projetos de autorrealização dominantes na contemporaneidade estão centrados no
",C,"{'A': 'aprimoramento moral.', 'B': 'alinhamento político.', 'C': 'capital simbólico.', 'D': 'vínculo religioso.', 'E': 'valor cultural.'}",azul
70,"[{'question_text': 'É com certeza, Senhor, e não com dúvida que em minha consciência eu Vos amo. Vós atingistes meu coração com a Vossa palavra e assim Vos amei. O céu, a terra e tudo que neles existe conclamam-me por toda parte a amar-Vos.\n', 'question_text_reference': 'AGOSTINHO. **Confissões.** Petrópolis: Vozes, 1988.\n'}]",enem_2025_belem,23,ch,"Na visão do autor, o ser humano tem como característica a
",C,"{'A': 'abstenção política como resultado da manifestação da fé.', 'B': 'construção da ideia de autonomia como fonte de libertação.', 'C': 'dependência da ordem divina para conquista da felicidade plena.', 'D': 'realização pessoal mediante prosperidade advinda do trabalho.', 'E': 'busca pela moralidade cristã determinada pelo imperativo categórico.'}",azul
74,"[{'question_text': 'O que define a polis é que, contrariamente à tribo ou às grandes monarquias, contrariamente à comunidade familiar, ali ninguém possui apriori o poder. Não se trata do objeto de um “ter” reservado, mas o lugar de uma luta pelo reconhecimento público, principalmente quando a polis é democrática, como foi o caso de Atenas.\n', 'question_text_reference': 'WOLFF, F. **Aristóteles e a política.** São Paulo: Discurso Editorial, 1999 (adaptado).\n'}]",enem_2025_belem,24,ch,"A organização política apresentada no texto alcança o modelo de deliberação pública das sociedades democráticas contemporâneas nas quais
",C,"{'A': 'patriarcas regionais preenchem os espaços de poder.', 'B': 'parlamentares atuam conforme interesses setorizados.', 'C': 'representantes eleitos estão legitimados pela vontade popular.', 'D': 'aristocratas ocupam a classe média na estratificação social.', 'E': 'governos hereditários dispensam a necessidade de eleições.'}",azul
77,"[{'question_text': 'O smartphone não é uma coisa. Eu o caracterizo como um infômata (coisa informatizada) que produz e processa informações. As informações são o contrário dos apoios que dão tranquilidade à vida. Vivem do estímulo da surpresa. Elas nos submergem em um turbilhão de atualidade.\n', 'question_text_reference': 'HAN, B.-C. apud FANJUL, S. **Entrevista com o filósofo Byung-Chul Han.** Disponível em: https://brasil.elpais.com. Acesso em: 21 out. 2021 (adaptado).\n'}]",enem_2025_belem,25,ch,"O texto sustenta que a ampliação das experiências de conectividade promovem
",D,"{'A': 'polarização e divisão social.', 'B': 'autonomia e liberdade funcional.', 'C': 'organização e controle temporal.', 'D': 'dispersão e desorientação pessoal.', 'E': 'produtividade e criatividade laboral.'}",azul
81,"[{'question_text_title': 'TEXTO I', 'question_text': 'A diferença entre um e outro homem não é suficientemente considerável para que qualquer um possa com base nela reclamar qualquer benefício a que o outro não possa também aspirar, tal como ele. Portanto, se dois homens desejam a mesma coisa, ao mesmo tempo em que é impossível ela ser gozada por ambos, eles tornam-se inimigos.\n', 'question_text_reference': 'HOBBES, T. **Leviatã.** São Paulo: Abril, 1980.\n'}, {'question_text_title': 'TEXTO II', 'question_text': 'Nada é mais meigo do que o homem em seu estado primitivo, quando, colocado pela natureza entre a estupidez dos brutos e as luzes funestas do homem civil, e compelido tanto pelo instinto quanto pela razão a defender-se do mal que o ameaça, é impedido pela piedade natural de fazer mal a alguém sem ser a isso levado por alguma coisa ou mesmo depois de atingido por algum mal.\n', 'question_text_reference': 'ROUSSEAU, J.-J. **Discurso sobre a origem e os fundamentos da desigualdade entre os homens.** São Paulo: Abril, 1978.\n'}]",enem_2025_belem,26,ch,"Comparando-se os textos dos contratualistas, verifica-se que eles apresentam um traço constitutivo dos homens no estado de natureza, caracterizado pela
",C,"{'A': 'tendência à autopreservação.', 'B': 'expressão da inocência.', 'C': 'condição de igualdade.', 'D': 'estima à propriedade.', 'E': 'vontade de poder.'}",azul
89,"[{'question_text': 'Antigamente, existiam duas maneiras de governar: ou a sociedade era comandada pelo rei (monarquia), ou era dirigida por um pequeno grupo de homens ricos (aristocracia). Mas, em algumas cidades da Grécia, foi experimentada outra forma de governo na qual os cidadãos decidiam os rumos da sociedade.\n', 'question_text_reference': 'KONDER, L. **Além das urnas.** In: PLANTEL, E. A democracia pode ser assim. São Paulo: Boitatá, 2015 (adaptado).\n'}]",enem_2025_belem,27,ch,"O texto faz referência a um modelo de governo sustentado por um(a)
",E,"{'A': 'mandato coletivo.', 'B': 'autocracia religiosa.', 'C': 'ditadura personalista.', 'D': 'absolutismo teocrático.', 'E': 'participação popular.'}",azul
52,"[{'question_text': 'Ainda que instituições não recorram a castigos violentos ou sangrentos, mesmo quando utilizam métodos “suaves” de trancar ou corrigir, é sempre do corpo que se trata — do corpo e suas forças, da utilidade e docilidade deles, de sua repartição e de sua submissão.\n', 'question_text_reference': 'FOUCAULT, M. Vigiar e punir. Petrópolis: Vozes, 1995 (adaptado).\n'}]",enem_2025_belem,28,ch,"A forma de exercício de poder indicada no texto é caracterizada como:
",C,"{'A': 'Ideológica, associada à dominação da consciência.', 'B': 'Midiática, apoiada na manipulação afetivo-sentimental.', 'C': 'Disciplinar, fundamentada na diluição espaço-temporal.', 'D': 'Autoritária, conduzida pela imposição coercitiva.', 'E': 'Carismática, motivada pela fascinação pessoal.'}",azul
67,"[{'question_text': 'Pensa-se que é característico de uma pessoa de discernimento ser capaz de deliberar bem acerca do que é bom e conveniente para si mesma, não em relação a um aspecto particular — por exemplo, quando se quer saber quais as espécies de coisas que concorrem para a saúde e para o vigor físico —, e sim acerca das espécies de coisas que nos levam a viver bem de um modo geral. O discernimento deve ser então uma qualidade que leva à verdade no tocante às ações relacionadas com os bens humanos.\n', 'question_text_reference': 'ARISTÓTELES. Ética a Nicômaco. In: MARCONDES, D. (Org.). **Textos básicos de Ética.** Rio de Janeiro: Zahar, 2008 (adaptado).\n'}]",enem_2025_belem,28,ch,"Conforme o trecho filosófico, a pessoa capaz de bem decidir é dotada de uma qualidade
",B,"{'A': 'teórica, voltada para o rigor da pesquisa.', 'B': 'racional, voltada para a orientação das escolhas.', 'C': 'pragmática, voltada para o desenvolvimento de projetos.', 'D': 'filosófica, voltada para a delimitação de opiniões.', 'E': 'social, voltada para a criação da arte.'}",azul
69,"[{'question_text': 'A ontologia como fundamento da ética foi o ponto de vista original da filosofia. A separação das duas, que é a separação entre o reino “objetivo” e o “subjetivo”, é o destino moderno. Sua re-união, caso seja possível, só poderá ser alcançada a partir do lado “objetivo”; quer dizer: por uma revisão da ideia de natureza. Só uma ética fundada na amplitude do ser, e não apenas na singularidade ou na peculiaridade do ser humano, é que pode ser de importância no universo das coisas. Mesmo que seja feita uma exigência extra-humana para o comportamento humano, permanece de pé o fato de que uma ética que não mais se baseie sobre a divindade tem que se fundamentar em um princípio que possa ser descoberto na natureza das coisas, para que não seja vítima do subjetivismo ou de outras formas de relativismo.\n', 'question_text_reference': 'JONAS, H. O princípio vida: fundamentos para uma biologia filosófica. Petrópolis: Vozes, 2004 (adaptado).\n'}]",enem_2025_belem,29,ch,"A fundamentação ontológica da ética proposta pelo autor encontra suporte na
",D,"{'A': 'afirmação da autoridade religiosa.', 'B': 'satisfação de interesses individuais.', 'C': 'formação do pragmatismo utilitarista.', 'D': 'compreensão da totalidade universal.', 'E': 'superação do modelo racionalista.'}",azul
73,"[{'question_text': 'Na obra O Político, Platão faz uma sutil distinção entre plantas e animais. As plantas, diferentemente dos animais, não seriam geridas pelo cosmo. Isso se prova pela sua autonomia ao germinarem aleatoriamente no solo. As plantas seriam autônomas, enquanto os animais seriam comandados. Se considerarmos a degeneração pela qual passariam os homens e suas almas, segundo Platão, vindo a se tornarem animais em outras vidas, os homens seriam seres políticos que deveriam ser governados, submissos a algo ou a alguém, no caso à política e ao demiurgo ou artesão, criador de todas as coisas. As plantas, por outro lado, cuja natureza é distinta, não teriam suas almas subordinadas ou dotadas de um fim.\n', 'question_text_reference': 'KLEPKA, V.; CORAZZA, M. J. A natureza da classificação dos seres vivos na Grécia Antiga. **Diálogos**, n. 2, 2018 (adaptado).\n'}]",enem_2025_belem,30,ch,"No texto, a natureza serve de paradigma para a compreensão da(s)
",C,"{'A': 'bases do monoteísmo antigo.', 'B': 'leis universais da botânica helênica.', 'C': 'constituição da sociedade ateniense.', 'D': 'técnicas da produção agrícola grega.', 'E': 'dessacralização da cosmologia clássica.'}",azul
